Amber_road;Baltic Route;Route de l'ambre;GERMAN;;SPANISH;;;;;;;;;x

ATS_English_Route;English Roads;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ATS_French_Route;French Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

German_roads;Imperial Roads;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Iberian_roads;Iberian Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

old_salt_route;Old Salt Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

spice_route;Spice Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

trans_saharran_route;Trans-Saharran Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

varangian_route;Varangian-Greek Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

via_maris;Via Maris;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

volga_route;Volga Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Italian_roads;Italian Roads;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Danube;Danube Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

French_roads;French Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Balkan_roads;Balkan Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ViaEgnatia;Via Egnatia;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Salt_roads;Old Salt Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Venetian_roads;Pannonian Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Sardinia_post;Sardinian Mines;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Sicily_post;Sicilian Ports;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Greek_island_post;Greek Island Ports;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Dublin_port;Irish Ports;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Lisboa_port;Port of Lisboa;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

Atlantic_trading;Atlantic Route;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YMajor Trade Route§!\nA major trade route brings trade through this province.\n;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nThis major trade route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;;;;;;;;;;;;;x
